Key,SourceString,Comment
"KillConfirmed","Kill Confirmed",""
"gamemode_killconfirmedsemipermissive","Kill Confirmed (Semi-Permissive)","not used at the moment"
"missionsetting_hvtcount","Expected HVTs","Opsboard"
"missionsetting_opforpreset","Expected Resistance","Opsboard"
"missionsetting_opforpreset_0","Underwhelming","Opsboard"
"missionsetting_opforpreset_1","Low","Opsboard"
"missionsetting_opforpreset_2","Medium","Opsboard"
"missionsetting_opforpreset_3","High","Opsboard"
"missionsetting_opforpreset_4","Overwhelming","Opsboard"
"missionsetting_aimaxconcurrentcount","Maximum Number Of Concurrent AI","Opsboard"
"missionsetting_displayscoremessage","Display Score Messages","Opsboard"
"missionsetting_displayscoremessage_0","No","Opsboard"
"missionsetting_displayscoremessage_1","Yes","Opsboard"
"missionsetting_displayscoremilestones","Display Score Milestone Messages","Opsboard"
"missionsetting_displayscoremilestones_0","No","Opsboard"
"missionsetting_displayscoremilestones_1","Yes","Opsboard"
"missionsetting_displayobjectivemessages","Display Objective Messages","Opsboard"
"missionsetting_displayobjectivemessages_0","No","Opsboard"
"missionsetting_displayobjectivemessages_1","Yes","Opsboard"
"missionsetting_displayobjectiveprompts","Display Objective World Prompts","Opsboard"
"missionsetting_displayobjectiveprompts_0","No","Opsboard"
"missionsetting_displayobjectiveprompts_1","Yes","Opsboard"
"missionsetting_respawncost","Respawn Cost","Opsboard"
"missionsetting_reinforcements","Size of HVT reinforcements","Opsboard"
"missionsetting_upriseonhvtkillchance","Chance For An Uprise On HVT Elimitation","Opsboard"
"missionsetting_civuprisesize","Size of Armed CIV Uprise","Opsboard"
"missionsetting_civpopulation","CIV Population","Opsboard"
"missionsetting_initialuprisechance","Chance Of An Uprise After First Collateral Damage","Opsboard"
"missionsetting_chanceincreasepercollateral","Uprise Chance Increase Per Collateral Damage","Opsboard"
"missionsetting_reinforcementstrigger","Reinforcement Trigger","Opsboard"
"missionsetting_reinforcementstrigger_0","On Kill","Opsboard"
"missionsetting_reinforcementstrigger_1","On Confirmation","Opsboard"
"missionsetting_displaydebugmessages","Display Debug Messages","Opsboard"
"missionsetting_displaydebugmessages_0","No","Opsboard"
"missionsetting_displaydebugmessages_1","Yes","Opsboard"
"missionsetting_triggerareasratio","Percentage Of Trigger Areas To Use","Opsboard"
"objective_NeutralizeHVTs","Locate and neutralize High Value Targets (HVTs).","Opsboard"
"objective_ConfirmEliminatedHVTs","Confirm that every neutralized HVT is eliminated.","Opsboard"
"objective_ExfiltrateBluFor","Exfiltrate via marked extraction point.","Opsboard"
"objective_NoCollateralDamage","Avoid collateral damage. It may trigger an uprise...","Opsboard"
"gamemessage_Blank","","objective"
"gamemessage_SoftFail","SOFT FAIL: Too many non-combatants killed","objective"
"gamemessage_HVTEliminated","HVT neutralized. Confirm the kill.","objective"
"gamemessage_HVTConfirmed","Kill confirmed.","objective"
"gamemessage_HVTConfirmedAll","All kills confirmed. Proceed to extraction.","objective"
"gamemessage_ExfilInProgress_5","Exfiltrating, T-5.","objective"
"gamemessage_ExfilInProgress_4","Exfiltrating, T-4.","objective"
"gamemessage_ExfilInProgress_3","Exfiltrating, T-3.","objective"
"gamemessage_ExfilInProgress_2","Exfiltrating, T-2.","objective"
"gamemessage_ExfilInProgress_1","Exfiltrating, T-1.","objective"
"gamemessage_ExfilInProgress_0","Exfiltrating, T-0.","objective"
"gamemessage_ExfilPaused","Exfiltration paused. Get entire team to exfiltration zone.","objective"
"gamemessage_ExfilCancelled","Exfiltration cancelled. Entire team left exfilration zone.","objective"
"gamemessage_ExfilCancelled","Exfiltration cancelled. Entire team left exfilration zone.","objective"
"gamemessage_RespawnNotInProgress","Respawn is not availble when a round is not in progress.","objective"
"gamemessage_RespawnInsufficientScore","Score too low for a respawn.","objective"
"gamemessage_RespawnAvailable","Respawn is availble.","objective"
"summary_HVTsConfirmed","Success: HVTs eliminated.","AAR"
"summary_BluForExfilFailed","Failure: Failed to reach extraction point.","AAR"
"summary_BluForEliminated","Failure: Your team was wiped out.","AAR"
"summary_SoftFail","Failure: Too many non-combatants killed.","AAR"
