Key,SourceString,Comment
"mutatoroption_forceuseelementcallsign","Force element-based call signs",ServerManagement.lua
"mutatoroption_forceuseelementcallsign_0","No",ServerManagement.lua
"mutatoroption_forceuseelementcallsign_1","Yes",ServerManagement.lua
"mutatoroption_allowduplicatecallsigns","Allow duplicate call signs",ServerManagement.lua
"mutatoroption_allowduplicatecallsigns_0","No",ServerManagement.lua
"mutatoroption_allowduplicatecallsigns_1","Yes",ServerManagement.lua
"mutatoroption_elementcallsignformat","Element-based call sign format",ServerManagement.lua
"mutatoroption_elementcallsignformat_0","A05 / C13",ServerManagement.lua
"mutatoroption_elementcallsignformat_1","A-5 / C-13",ServerManagement.lua
"mutatoroption_elementcallsignformat_2","A*5 / C*13",ServerManagement.lua
"mutatoroption_elementcallsignformat_3","A 5 / C 13",ServerManagement.lua
"mutatoroption_elementcallsignformat_4","XA5 / XC13",ServerManagement.lua
"mutatoroption_elementcallsignformat_5","XA-5 / XC-13",ServerManagement.lua
"mutatoroption_elementcallsignformat_6","5A / 13C",ServerManagement.lua
"mutatoroption_elementcallsignformat_7","5-A / 13-C",ServerManagement.lua
"mutatoroption_elementcallsignformat_8","AE / CR",ServerManagement.lua
"mutatoroption_elementcallsignformat_9","A-E / C-R",ServerManagement.lua
"mutatoroption_itembuildnameverbosity","Provide default item build names",InventoryManagement.lua
"mutatoroption_itembuildnameverbosity_0","(Disabled)",InventoryManagement.lua
"mutatoroption_itembuildnameverbosity_1","Just item name",InventoryManagement.lua
"mutatoroption_itembuildnameverbosity_2","Item name plus key features",InventoryManagement.lua
"mutatoroption_itembuildnameverbosity_3","More verbose",InventoryManagement.lua
"mutatoroption_itembuildnameverbosity_4","Unique build name for all changes",InventoryManagement.lua
"mutatoroption_removeprimary","Primary weapon",WeaponRestriction.lua
"mutatoroption_removeprimary_0","No restriction",WeaponRestriction.lua
"mutatoroption_removeprimary_1","Primary weapons not allowed",WeaponRestriction.lua
"mutatoroption_removesidearm","Sidearm",WeaponRestriction.lua
"mutatoroption_removesidearm_0","No restriction",WeaponRestriction.lua
"mutatoroption_removesidearm_1","Sidearms not allowed",WeaponRestriction.lua
"mutatoroption_maxfrags","Fragmentation grenades",WeaponRestriction.lua
"mutatoroption_maxfrags_0","No limit",WeaponRestriction.lua
"mutatoroption_maxfrags_1","None allowed",WeaponRestriction.lua
"mutatoroption_maxfrags_2","Allow 1",WeaponRestriction.lua
"mutatoroption_maxfrags_3","Allow 2",WeaponRestriction.lua
"mutatoroption_maxfrags_4","Allow 3",WeaponRestriction.lua
"mutatoroption_maxfrags_5","Allow 4",WeaponRestriction.lua
"mutatoroption_maxfrags_6","Allow 5",WeaponRestriction.lua
"mutatoroption_maxsmokes","Smoke grenades",WeaponRestriction.lua
"mutatoroption_maxsmokes_0","No limit",WeaponRestriction.lua
"mutatoroption_maxsmokes_1","None allowed",WeaponRestriction.lua
"mutatoroption_maxsmokes_2","Allow 1",WeaponRestriction.lua
"mutatoroption_maxsmokes_3","Allow 2",WeaponRestriction.lua
"mutatoroption_maxsmokes_4","Allow 3",WeaponRestriction.lua
"mutatoroption_maxsmokes_5","Allow 4",WeaponRestriction.lua
"mutatoroption_maxsmokes_6","Allow 5",WeaponRestriction.lua
"mutatoroption_maxflashbangs","Flash bangs",WeaponRestriction.lua
"mutatoroption_maxflashbangs_0","No limit",WeaponRestriction.lua
"mutatoroption_maxflashbangs_1","None allowed",WeaponRestriction.lua
"mutatoroption_maxflashbangs_2","Allow 1",WeaponRestriction.lua
"mutatoroption_maxflashbangs_3","Allow 2",WeaponRestriction.lua
"mutatoroption_maxflashbangs_4","Allow 3",WeaponRestriction.lua
"mutatoroption_maxflashbangs_5","Allow 4",WeaponRestriction.lua
"mutatoroption_maxflashbangs_6","Allow 5",WeaponRestriction.lua
"mutatoroption_removebreachcharge","Breach charges",WeaponRestriction.lua
"mutatoroption_removebreachcharge_0","No restriction",WeaponRestriction.lua
"mutatoroption_removebreachcharge_1","Breach charges not allowed",WeaponRestriction.lua
