Key,SourceString,Comment
"SecurityDetail","Security Detail",""
"SecurityDetailSemiPermissive","SecurityDetail (Semi-Permissive)",""
"missionsetting_opforpreset","Expected Resistance","Opsboard"
"missionsetting_opforpreset_0","Underwhelming","Opsboard"
"missionsetting_opforpreset_1","Low","Opsboard"
"missionsetting_opforpreset_2","Medium","Opsboard"
"missionsetting_opforpreset_3","High","Opsboard"
"missionsetting_opforpreset_4","Overwhelming","Opsboard"
"missionsetting_scenario","Scenario","Opsboard"
"missionsetting_scenario_0","Escort or Exfil (Random)","Opsboard"
"missionsetting_scenario_1","Escort (Random)","Opsboard"
"missionsetting_scenario_2","Exfil (Random)","Opsboard"
"missionsetting_scenario_3","Map Loc. #1","Opsboard"
"missionsetting_scenario_4","Map Loc. #2","Opsboard"
"missionsetting_scenario_5","Map Loc. #3","Opsboard"
"missionsetting_scenario_6","Map Loc. #4","Opsboard"
"missionsetting_scenario_7","Map Loc. #5","Opsboard"
"missionsetting_scenario_8","Map Loc. #6","Opsboard"
"missionsetting_scenario_9","Map Loc. #7","Opsboard"
"missionsetting_scenario_10","Map Loc. #8","Opsboard"
"missionsetting_availableforces","Available forces","Opsboard"
"missionsetting_availableforces_0","PSD and QRF","Opsboard"
"missionsetting_availableforces_1","PSD only","Opsboard"
"missionsetting_availableforces_2","QRF only","Opsboard"
"missionsetting_respawncost","Respawn Cost","Opsboard"
"objective_ProtectVIP","Protect VIP.","Opsboard"
"objective_ExfiltrateBluFor","Exfiltrate via marked extraction point.","Opsboard"
"objective_NoCollateralDamage","Avoid collateral damage","Opsboard"
"gamemessage_Blank","","objective"
"gamemessage_SoftFail","SOFT FAIL: Too many non-combatants killed","objective"
"gamemessage_HVTEliminated","HVT neutralized. Confirm the kill.","objective"
"gamemessage_HVTConfirmed","Kill confirmed.","objective"
"gamemessage_HVTConfirmedAll","All kills confirmed. Proceed to extraction.","objective"
"gamemessage_ExfilInProgress_5","Exfiltrating, T-5.","objective"
"gamemessage_ExfilInProgress_4","Exfiltrating, T-4.","objective"
"gamemessage_ExfilInProgress_3","Exfiltrating, T-3.","objective"
"gamemessage_ExfilInProgress_2","Exfiltrating, T-2.","objective"
"gamemessage_ExfilInProgress_1","Exfiltrating, T-1.","objective"
"gamemessage_ExfilInProgress_0","Exfiltrating, T-0.","objective"
"gamemessage_ExfilPaused","Exfiltration paused. Get entire team to exfiltration zone.","objective"
"gamemessage_ExfilCancelled","Exfiltration cancelled. Entire team left exfilration zone.","objective"
"summary_VipSurvived","Success: VIP survived.","AAR"
"summary_VipEliminated","Failure: VIP was eliminated.","AAR"
"summary_BluForEliminated","Failure: Your team was wiped out.","AAR"
"summary_SoftFail","Failure: Too many non-combatants killed.","AAR"
