Key,SourceString,Comment
"TerroristHunt","Terrorist Hunt",""
"objective_EliminateOpFor","Locate and eliminate all threats in the area.","Opsboard"
"summary_OpForEliminated","All threats were eliminated.","AAR"
"summary_BluForEliminated","Your unit was wiped out.","AAR"
"missionsetting_showremaining","Show remaining threats","Opsboard"
"format_RemainingOpfor","{NumberRemaining} {NumberRemaining}|plural(one=enemy,other=enemies) remaining",formatted string
"missionsetting_aimaxconcurrentcount","Maximum Number Of Concurrent AI","Opsboard"
"missionsetting_debugmessagelevel","Debug Message Level","Opsboard"
"missionsetting_triggeractivationchance","Default Trigger Activation Chance","Opsboard"
"missionsetting_minambushdelay","Default Minimum Ambush Delay","Opsboard"
"missionsetting_maxambushdelay","Default Maximum Ambush Delay","Opsboard"
"missionsetting_minambushsize","Default Minimum Ambush Size","Opsboard"
"missionsetting_maxambushsize","Default Maximum Ambush Size","Opsboard"
"missionsetting_triggersenabled","Ambush Triggers","Opsboard"
"missionsetting_triggersenabled_0","Disabled","Opsboard"
"missionsetting_triggersenabled_1","Enabled","Opsboard"
